year,month,day,total,boat,underwater,arr_airport,arr_port,arr_total
2019,5,1,0,0,0,1931.75,997.95652173913,2929.70652173913
2019,5,2,0,0,0,2263.8,1021.95652173913,3285.75652173913
2019,5,3,2,2,0,2369,1046.95652173913,3415.95652173913
2019,5,4,0,0,0,2293.14285714286,1070.95652173913,3364.09937888199
2019,5,5,0,0,0,2298,1094.95652173913,3392.95652173913
2019,5,6,1,1,0,2237.85714285714,1118.95652173913,3356.81366459627
2019,5,7,0,0,0,2170.28571428571,1143.95652173913,3314.24223602484
2019,5,8,0,0,0,2257.71428571429,1167.95652173913,3425.67080745342
2019,5,9,0,0,0,2202.57142857143,1191.95652173913,3394.52795031056
2019,5,10,0,0,0,2142.28571428571,1215.95652173913,3358.24223602484
2019,5,11,1,1,0,2201.85714285714,1240.95652173913,3442.81366459627
2019,5,12,1,1,0,2217.28571428571,1264.95652173913,3482.24223602484
2019,5,13,1,1,0,2276.28571428571,1288.95652173913,3565.24223602484
2019,5,14,0,0,0,2443.28571428571,1312.95652173913,3756.24223602484
2019,5,15,2,2,0,2510.57142857143,1337.95652173913,3848.52795031056
2019,5,16,1,1,0,2673.85714285714,1360.95652173913,4034.81366459627
2019,5,17,5,5,0,2774.42857142857,1381.95652173913,4156.3850931677
2019,5,18,4,4,0,2881.71428571429,1402.95652173913,4284.67080745342
2019,5,19,2,2,0,3066.85714285714,1423.95652173913,4490.81366459627
2019,5,20,1,1,0,3148.57142857143,1445.95652173913,4594.52795031056
2019,5,21,3,3,0,3197.28571428571,1466.95652173913,4664.24223602484
2019,5,22,1,1,0,3235.57142857143,1488.95652173913,4724.52795031056
2019,5,23,4,1,1,3378.57142857143,1510.95652173913,4889.52795031056
2019,5,24,1,1,0,3463.14285714286,1533.95652173913,4997.09937888199
2019,5,25,7,7,0,3678.28571428571,1556.95652173913,5235.24223602484
2019,5,26,4,3,1,3762.85714285714,1579.95652173913,5342.81366459627
2019,5,27,3,2,1,3809.42857142857,1602.95652173913,5412.3850931677
2019,5,28,1,1,0,3889.85714285714,1626.95652173913,5516.81366459627
2019,5,29,0,0,0,3975.28571428571,1649.95652173913,5625.24223602484
2019,5,30,8,4,4,4013.57142857143,1673.95652173913,5687.52795031056
2019,5,31,11,9,2,4174.42857142857,1697.95652173913,5872.3850931677
2019,6,1,4,2,1,4421,1722.95652173913,6143.95652173913
2019,6,2,2,1,1,4540.71428571429,1747.95652173913,6288.67080745342
2019,6,3,4,3,1,4798.14285714286,1772.95652173913,6571.09937888199
2019,6,4,5,0,4,5091.85714285714,1797.95652173913,6889.81366459627
2019,6,5,10,9,1,5163.14285714286,1822.95652173913,6986.09937888199
2019,6,6,7,4,2,5183.42857142857,1848.95652173913,7032.3850931677
2019,6,7,13,9,4,5268.14285714286,1873.95652173913,7142.09937888199
2019,6,8,14,9,5,5322.14285714286,1899.95652173913,7222.09937888199
2019,6,9,14,12,2,5364,1926.95652173913,7290.95652173913
2019,6,10,14,11,3,5451,1952.95652173913,7403.95652173913
2019,6,11,5,4,1,5539.42857142857,1979.95652173913,7519.3850931677
2019,6,12,10,8,2,5611.57142857143,2005.95652173913,7617.52795031056
2019,6,13,21,17,4,5655.42857142857,2032.95652173913,7688.3850931677
2019,6,14,13,11,0,5699.14285714286,2060.95652173913,7760.09937888199
2019,6,15,18,17,1,5767.57142857143,2087.95652173913,7855.52795031056
2019,6,16,7,6,1,5784.14285714286,2115.95652173913,7900.09937888199
2019,6,17,9,6,3,5822.85714285714,2142.95652173913,7965.81366459627
2019,6,18,11,11,0,5807.85714285714,2170.95652173913,7978.81366459627
2019,6,19,10,6,1,5816,2198.95652173913,8014.95652173913
2019,6,20,15,10,4,5811.42857142857,2226.95652173913,8038.3850931677
2019,6,21,12,7,5,5858.42857142857,2255.95652173913,8114.3850931677
2019,6,22,23,18,5,5895.85714285714,2283.95652173913,8179.81366459627
2019,6,23,19,16,2,5920.57142857143,2312.95652173913,8233.52795031056
2019,6,24,11,8,3,5991.28571428571,2341.95652173913,8333.24223602485
2019,6,25,11,9,1,5990,2371.95652173913,8361.95652173913
2019,6,26,10,6,4,6009.85714285714,2400.95652173913,8410.81366459627
2019,6,27,16,12,4,6036.14285714286,2430.95652173913,8467.09937888199
2019,6,28,12,8,3,6105.85714285714,2460.95652173913,8566.81366459627
2019,6,29,18,14,4,6146.71428571429,2491.95652173913,8638.67080745342
2019,6,30,5,3,2,6213.85714285714,2522.95652173913,8736.81366459627
2019,7,1,13,7,6,6267.14285714286,2553.95652173913,8821.09937888199
2019,7,2,15,11,2,6333.71428571429,2584.95652173913,8918.67080745342
2019,7,3,10,8,2,6392,2616.95652173913,9008.95652173913
2019,7,4,25,19,5,6493.42857142857,2649.95652173913,9143.3850931677
2019,7,5,24,16,5,6552.71428571429,2681.95652173913,9234.67080745342
2019,7,6,13,12,1,6577.28571428571,2715.95652173913,9293.24223602485
2019,7,7,17,8,7,6597,2748.95652173913,9345.95652173913
2019,7,8,13,9,4,6558.57142857143,2782.95652173913,9341.52795031056
2019,7,9,20,16,3,6560.42857142857,2817.95652173913,9378.3850931677
2019,7,10,19,15,4,6594.57142857143,2852.95652173913,9447.52795031056
2019,7,11,20,17,3,6639.28571428571,2887.95652173913,9527.24223602485
2019,7,12,19,16,2,6633.57142857143,2923.95652173913,9557.52795031056
2019,7,13,16,13,3,6689.28571428571,2960.95652173913,9650.24223602485
2019,7,14,19,15,4,6844.57142857143,2997.95652173913,9842.52795031056
2019,7,15,16,11,5,6898,3035.95652173913,9933.95652173913
2019,7,16,7,6,0,6907.57142857143,3073.95652173913,9981.52795031056
2019,7,17,10,9,1,6952.85714285714,3113.95652173913,10066.8136645963
2019,7,18,16,12,4,6990.42857142857,3157.95652173913,10148.3850931677
2019,7,19,12,11,0,7019.85714285714,3206.95652173913,10226.8136645963
2019,7,20,15,12,2,7054.14285714286,3257.95652173913,10312.099378882
2019,7,21,17,17,0,7059.14285714286,3312.95652173913,10372.099378882
2019,7,22,8,6,2,7083.85714285714,3369.95652173913,10453.8136645963
2019,7,23,15,13,2,7083,3429.95652173913,10512.9565217391
2019,7,24,15,12,3,7068.85714285714,3491.95652173913,10560.8136645963
2019,7,25,10,9,1,7042.28571428571,3554.95652173913,10597.2422360248
2019,7,26,18,13,4,7053.57142857143,3619.95652173913,10673.5279503106
2019,7,27,11,7,3,7005,3684.95652173913,10689.9565217391
2019,7,28,16,8,7,7019.71428571429,3750.95652173913,10770.6708074534
2019,7,29,9,8,1,6988.57142857143,3815.95652173913,10804.5279503106
2019,7,30,14,11,3,6997.71428571429,3881.95652173913,10879.6708074534
2019,7,31,18,13,5,7006.57142857143,3946.95652173913,10953.5279503106
2019,8,1,18,11,5,7018.28571428571,4009.95652173913,11028.2422360248
2019,8,2,22,10,12,7027.57142857143,4072.95652173913,11100.5279503106
2019,8,3,20,14,4,7044.28571428571,4132.95652173913,11177.2422360248
2019,8,4,14,11,3,7020.57142857143,4190.95652173913,11211.5279503106
2019,8,5,25,16,8,7052.14285714286,4246.95652173913,11299.099378882
2019,8,6,16,13,2,7039.85714285714,4299.95652173913,11339.8136645963
2019,8,7,27,22,4,7059.28571428571,4348.95652173913,11408.2422360248
2019,8,8,20,20,0,7053,4394.95652173913,11447.9565217391
2019,8,9,15,13,1,7022.28571428571,4435.95652173913,11458.2422360248
2019,8,10,21,13,6,7001.57142857143,4472.95652173913,11474.5279503106
2019,8,11,21,13,6,7002.85714285714,4505.95652173913,11508.8136645963
2019,8,12,19,15,4,7018.71428571429,4532.95652173913,11551.6708074534
2019,8,13,20,14,4,7025.28571428571,4553.95652173913,11579.2422360248
2019,8,14,25,18,7,7010.85714285714,4568.95652173913,11579.8136645963
2019,8,15,26,16,5,7005.71428571429,4577.95652173913,11583.6708074534
2019,8,16,30,25,3,7013.71428571429,4579.95652173913,11593.6708074534
2019,8,17,20,15,4,6985.28571428571,4569.95652173913,11555.2422360248
2019,8,18,26,16,10,6932.57142857143,4545.95652173913,11478.5279503106
2019,8,19,33,15,15,6838.14285714286,4507.95652173913,11346.099378882
2019,8,20,19,12,5,6780,4457.95652173913,11237.9565217391
2019,8,21,18,13,4,6720.42857142857,4396.95652173913,11117.3850931677
2019,8,22,33,24,6,6615.71428571429,4323.95652173913,10939.6708074534
2019,8,23,19,11,7,6577.71428571429,4241.95652173913,10819.6708074534
2019,8,24,36,22,10,6447.57142857143,4151.95652173913,10599.5279503106
2019,8,25,26,16,7,6344.42857142857,4052.95652173913,10397.3850931677
2019,8,26,24,17,6,6280.85714285714,3947.95652173913,10228.8136645963
