aggrv,m6,m7,m8,m9,m10
1,3.63971836209968,2.1974045868301215,1.8578488276053489,2.7287422107027752,9.878600831985104
2,2.3285559378520895,1.7109867065851667,1.5383804163491803,1.9243742446378573,7.301575531595028
3,1.919223302973775,1.5463162178572527,1.4198876720823068,1.6875062040744886,5.891865189001605
4,1.7401789046532639,1.4536763156423889,1.3543834948907743,1.5641921547866278,6.048782963470929
5,1.6224354496390454,1.3952711569397336,1.3108711679353575,1.4879676145851188,4.535274912235233
6,1.5572687598047321,1.352945982286749,1.280168540379951,1.43905154551622,4.024294587630387
7,1.4987389077723652,1.3239773630901241,1.2568528259330416,1.3928034463683934,2.862373697627678
8,1.4787075837827153,1.2956013585808268,1.2365176636552782,1.3427086299422701,2.1656198566027522
9,1.4326210666984764,1.2791963692248,1.2218015331204757,1.3372390889130656,2.2728746500037875
10,1.3993647215824263,1.2638092944330648,1.2102691682273963,1.3213496322778802,2.6656909652462804
11,1.4151181257632706,1.2505066996910768,1.1991286191259292,1.281358372388575,1.822617043349012
12,1.3746549303292723,1.2354852261804241,1.189087443776936,1.269283864511693,1.7887830105877163
13,1.3429271490732635,1.2267525438391516,1.1806994983066958,1.2677696759089538,1.8013483891172317
14,1.3230452784891544,1.2191206013146463,1.174861540092028,1.2603604096674497,1.7934862699244976
15,1.3068207229250475,1.210973620971235,1.1683558462723709,1.2520806485628597,1.8227513759324512
16,1.3475356708392956,1.1963651235677597,1.167443587188104,1.2183176766444586,1.6082870721905889
17,1.3267369667211122,1.190256631086663,1.161355818099556,1.2115965720127233,1.5885386450316612
18,1.3158206392355505,1.1859849060369838,1.1553812547491311,1.204985644382328,1.5708336825432017
19,1.304494309683141,1.1819381602386367,1.1492550140563884,1.1997672752275885,1.5417882673445127
20,1.284801696080333,1.1791823204371463,1.1449503715842202,1.1956919519072935,1.5292433414092192
21,1.2771261449223241,1.1751158360617133,1.140902416371194,1.1918460806508258,1.517136933776914
22,1.2703096350534706,1.1708788755971644,1.1362446428968895,1.1882012862270916,1.511242368198966
23,1.2515396012570634,1.1656914142825179,1.1337147556516578,1.184366239187272,1.5072209627128401
24,1.2353273211974523,1.1608187677179895,1.1296000380428586,1.1811244881921013,1.4971682165470623
25,1.225825470234758,1.1579444655354982,1.1265351558598609,1.1804106180770246,1.4971682165470623
26,1.2176092745433535,1.1549621121521767,1.123907468391589,1.1788579193815174,1.4971682165470623
27,1.212904392690627,1.1524075987349574,1.121988935475267,1.1761154873595734,1.4911625580287362
28,1.2084993521346623,1.1497760304413995,1.1203341144766328,1.173420242372588,1.4899683229855045
29,1.2041325964542613,1.147852160193778,1.1179284574516701,1.171009277386508,1.4865545724396791
30,1.1997024420916758,1.1442215859711204,1.1160205911683787,1.1686937337041845,1.4865545724396791
